ID,점검항목,결과,상세내용
W-01,Administrator 계정 이름 변경,취약,관리자 계정명('Administrator')이 변경되지 않음
W-02,Guest 계정 비활성화,양호,Guest 계정이 비활성화 상태입니다.
W-03,불필요한 계정 제거,점검필요,"현재 시스템 계정 리스트: Administrator, DefaultAccount, Guest, minwo, WDAGUtilityAccount, WsiAccount | 퇴직/휴직자 등 불필요한 계정이 있는지 수동 확인이 필요합니다."
W-04,계정 잠금 임계값 설정,취약,계정 잠금 임계값이 0회로 설정되어 있습니다. (기준: 1~5회)
W-05,해독 가능한 암호화 사용하여 암호 저장 해제,양호,해독 가능한 암호화 저장 정책이 비활성화되어 있습니다.
W-06,관리자 그룹에 최소한의 사용자 포함,취약,"관리자 그룹 인원이 2명입니다: 강민우\Administrator, 강민우\minwo | 불필요한 계정은 제거 권고합니다."
W-07,Everyone 사용 권한을 익명 사용자에 적용,양호,정책이 '사용 안 함(0)'으로 설정되어 있습니다.
W-08,계정 잠금 기간 설정,취약,계정 잠금 기간이 10분입니다. (60분 이상 권고)
W-09,비밀번호 관리 정책 설정,양호,기본적인 암호 정책 설정을 확인하였습니다.
W-10,마지막 사용자 이름 표시 안 함,취약,정책이 '사용 안 함(0)'으로 설정되어 마지막 로그인 계정이 노출됩니다.
W-11,로컬 로그온 허용,점검필요,로컬 로그온 권한은 정책 파일(secedit) 분석이 필요하므로 수동 점검을 권장합니다.
W-12,익명 SID/이름 변환 허용 해제,양호,익명 SID 이름 변환이 차단(0)되어 있습니다.
W-13,콘솔 로그온 시 로컬 계정에서 빈 암호 사용 제한,양호,빈 암호 사용 제한이 설정(1)되어 있습니다.
W-14,원격터미널 접속 사용자 제한,양호,Remote Desktop Users 그룹에 등록된 일반 사용자가 없습니다.
W-15,사용자 개인키 사용 시 암호 입력,취약,사용자 키에 대해 강력한 키 보호가 설정되어 있지 않습니다.
W-16,공유 권한 및 사용자 그룹 설정,양호,Everyone 권한이 설정된 일반 공유 폴더가 없습니다.
W-17,하드디스크 기본 공유 제거,취약,AutoShareServer 정책이 설정되지 않았거나 활성화(1)되어 있습니다.
W-18,불필요한 서비스 제거,양호,주요 불필요 서비스가 모두 중지되어 있습니다.
W-19,불필요한 IIS 서비스 구동 점검,양호,IIS 서비스가 설치되어 있지 않거나 중지 상태입니다.
W-20,NetBIOS 바인딩 서비스 구동 점검,취약,일부 어댑터에 NetBIOS 바인딩이 활성화되어 있습니다.
W-21,암호화되지 않는 FTP 서비스 비활성화,양호,암호화되지 않은 기본 FTP 서비스가 중지되어 있습니다.
W-22,FTP 디렉토리 접근권한 설정,양호,FTP 서비스가 비활성화되어 있어 점검 대상이 아닙니다.
W-23,공유 서비스에 대한 익명 접근 제한 설정,양호,익명 연결 제한이 설정되어 있습니다(값: None).
W-24,FTP 접근 제어 설정,양호,FTP 서비스가 비활성화되어 있습니다.
W-25,DNS Zone Transfer 설정,양호,DNS 서비스가 설치되어 있지 않거나 중지 상태입니다.
W-26,RDS(Remote Data Services) 제거,양호,최신 OS 버전이며 RDS 취약점 대상이 아닙니다.
W-27,최신 Windows OS Build 버전 적용,점검필요,"현재 버전: 강민우, 빌드: 26100.1.amd64fre.ge_release.240331-1435 | 최신 보안 패치 적용 여부를 업데이트 관리 대장과 대조하십시오."
W-28,터미널 서비스 암호화 수준 설정,양호,RDP 암호화 수준이 적절합니다(값: 2).
W-29,불필요한 SNMP 서비스 구동 점검,양호,SNMP 서비스가 중지되어 있거나 설치되지 않았습니다.
W-30,SNMP Community String 복잡성 설정,양호,
W-31,SNMP Access Control 설정,양호,SNMP 서비스가 미구동 중이거나 접근 제어 설정이 비어있습니다.
W-32,DNS 서비스 동적 업데이트 설정,양호,DNS 서비스가 비활성화되어 있습니다.
W-33,HTTP/FTP/SMTP 배너 차단,점검필요,HTTP 헤더 및 FTP 응답 메시지에서 버전 정보 노출 여부를 수동으로 확인하십시오.
W-34,Telnet 서비스 비활성화 및 인증 설정,양호,Telnet 서비스가 설치되어 있지 않거나 중지 상태입니다.
W-35,불필요한 ODBC 데이터 소스 점검,양호,등록된 시스템 DSN이 없습니다.
W-36,원격터미널 접속 타임아웃 설정,취약,원격 터미널 유휴 시간 제한이 설정되지 않았거나 30분을 초과합니다(0ms).
W-37,의심스러운 예약 작업 점검,점검필요,"현재 163개의 활성화된 예약 작업이 존재합니다. | 정기적으로 의심스러운 스크립트(.bat, .ps1, .vbs)가 등록되어 있는지 검토하십시오."
W-38,주기적 보안 패치 및 벤더 권고사항 적용,양호,최근 90일 이내에 4건의 보안 패치가 설치되었습니다.
W-39,백신 프로그램 업데이트,취약,백신 프로그램(Windows Defender)이 비활성화되어 있습니다.
W-40,정책에 따른 시스템 로깅 설정,취약,주요 감사 정책(로그온/로그오프 등)이 '성공 및 실패'를 모두 기록하도록 설정되지 않았습니다.
W-41,NTP 및 시각 동기화 설정,양호,동기화 서버: 다음 오류가 발생했습니다. 액세스가 거부되었습니다. (0x80070005)
W-42,이벤트 로그 관리 설정,양호,
W-43,이벤트 로그 파일 접근 통제 설정,양호,로그 디렉토리에 Everyone 권한이 포함되어 있지 않습니다.
W-44,원격 레지스트리 서비스 사용 여부,양호,Remote Registry 서비스가 중지되어 있거나 설치되지 않았습니다.
W-45,백신 프로그램 설치,양호,"설치된 백신: 알약, Windows Defender"
W-46,SAM 파일 접근 통제 설정,양호,SAM 파일 권한이 Administrators 및 SYSTEM으로 제한되어 있습니다.
W-47,화면 보호기 설정,취약,"화면보호기 미설정 또는 기준 미달(대기시간: 9999초, 암호사용: False)"
W-48,로그온하지 않고 시스템 종료 허용 안 함,취약,로그온 화면에서 시스템 종료 버튼이 활성화(1)되어 있습니다.
W-49,원격 시스템에서 강제로 시스템 종료,점검필요,사용자 권한 할당(SeRemoteShutdownPrivilege) 정책은 secedit 분석이 필요하므로 수동 점검을 권장합니다.
W-50,보안 감사를 로그 할 수 없는 경우 즉시 시스템 종료,취약,감사 로그 실패 시 시스템 종료 정책이 활성화되어 있습니다.
W-51,SAM 계정과 공유의 익명 열거 허용 안 함,양호,익명 열거가 차단(1)되어 있습니다.
W-52,Autologon 기능 제어,양호,자동 로그온 기능이 비활성화(0)되어 있거나 설정이 존재하지 않습니다.
W-53,이동식 미디어 포맷 및 꺼내기 허용,양호,이동식 미디어 포맷 권한이 Administrators로 제한되어 있습니다.
W-54,DoS 공격 방어 레지스트리 설정,취약,"SynAttackProtect 설정이 부적절합니다 (현재값: None, 권장값: 1) | EnableDeadGWDetect 설정이 부적절합니다 (현재값: None, 권장값: 0) | KeepAliveTime 설정이 부적절합니다 (현재값: None, 권장값: 300000) | NoNameReleaseOnDemand 설정이 부적절합니다 (현재값: None, 권장값: 1)"
W-55,사용자의 프린터 드라이버 설치 차단,양호,프린터 드라이버 설치 권한이 제한되어 있습니다.
W-56,SMB 세션 중단 관리 설정,양호,SMB 유휴 세션 설정이 적절합니다(15분).
W-57,로그온 시 경고 메시지 설정,취약,로그온 경고 메시지 제목 또는 내용이 설정되어 있지 않습니다.
W-58,사용자별 홈 디렉터리 권한 설정,양호,모든 홈 디렉터리에 Everyone 권한이 제한되어 있습니다.
W-59,LAN Manager 인증 수준,취약,LAN Manager 인증 수준이 낮게 설정되어 있습니다(값: 0). NTLMv2 이상 권고.
W-60,보안 채널 데이터 디지털 암호화 또는 서명,양호,모든 보안 채널 암호화/서명 정책이 활성화되어 있습니다.
W-61,NTFS 파일 시스템 사용 여부,양호,모든 로컬 드라이브가 NTFS 파일 시스템을 사용 중입니다.
W-62,시작 프로그램 목록 분석,점검필요,"등록된 시작 프로그램: SecurityHealth, RtkAudUService, ALYac | 시작 프로그램 중 출처가 불분명한 항목이 있는지 수동 검토하십시오."
W-63,도메인 컨트롤러 시간 동기화 오차,양호,Kerberos 시계 동기화 최대 허용 오차는 기본 5분입니다. GPO에서 확인하십시오.
W-64,윈도우 방화벽 설정,양호,"모든 방화벽 프로필(Domain, Private, Public)이 활성화되어 있습니다."

[최종 요약],전체: 64 | 양호: 40 | 취약: 17 | 점검필요: 7 | 실패: 0
